Fecha,Mezcla_Mexicana
03/01/2005,31.42
04/01/2005,32.77
05/01/2005,32.64
06/01/2005,33.95
07/01/2005,34.15
10/01/2005,34.35
11/01/2005,34.6
12/01/2005,34.75
13/01/2005,35.69
14/01/2005,35.99
17/01/2005,35.95
18/01/2005,35.85
19/01/2005,34.62
20/01/2005,34.08
21/01/2005,35.34
24/01/2005,35.75
25/01/2005,36.21
26/01/2005,36.26
27/01/2005,36.14
28/01/2005,35.05
31/01/2005,35.39
01/02/2005,35.09
02/02/2005,34.38
03/02/2005,34.24
04/02/2005,34.55
07/02/2005,33.34
08/02/2005,33.17
09/02/2005,33.17
10/02/2005,34.41
11/02/2005,34.9
14/02/2005,35.13
15/02/2005,35.18
16/02/2005,36.02
17/02/2005,35.52
18/02/2005,36.1
21/02/2005,36.27
22/02/2005,38.02
23/02/2005,39.1
24/02/2005,39.25
25/02/2005,39.58
28/02/2005,39.79
01/03/2005,39.53
02/03/2005,40.33
03/03/2005,41.17
04/03/2005,41.23
07/03/2005,41.42
08/03/2005,42.12
09/03/2005,42
10/03/2005,41.48
11/03/2005,41.95
14/03/2005,42.18
15/03/2005,42.26
16/03/2005,43.28
17/03/2005,43.47
18/03/2005,44.04
21/03/2005,43.82
22/03/2005,43.18
23/03/2005,39.09
24/03/2005,39.09
25/03/2005,39.09
28/03/2005,41.03
29/03/2005,41.31
30/03/2005,40.97
31/03/2005,42.26
01/04/2005,44.67
04/04/2005,44.71
05/04/2005,44.09
06/04/2005,44.55
07/04/2005,43.32
08/04/2005,43.28
11/04/2005,43.35
12/04/2005,41.28
13/04/2005,40.22
14/04/2005,40.63
15/04/2005,40.47
18/04/2005,39.53
19/04/2005,40.9
20/04/2005,41.54
21/04/2005,42.68
22/04/2005,43.53
25/04/2005,43.23
26/04/2005,44.56
27/04/2005,42.54
28/04/2005,42.58
29/04/2005,40.93
02/05/2005,41.9
03/05/2005,41.23
04/05/2005,42.16
05/05/2005,42.48
06/05/2005,42.62
09/05/2005,43.87
10/05/2005,43.82
11/05/2005,42.99
12/05/2005,41.49
13/05/2005,40.48
16/05/2005,40.52
17/05/2005,40.95
18/05/2005,40.08
19/05/2005,39.74
20/05/2005,40.12
23/05/2005,41.06
24/05/2005,41.5
25/05/2005,42.13
26/05/2005,42.37
27/05/2005,42.95
30/05/2005,43.05
31/05/2005,43.08
01/06/2005,44.4
