clave,nombre
01AAN-85,Actopan
01AAP-85,Apaplastic
01ACC-85,Aceros Corsa
01ACM-85,Aceros Camesa
01ACN-85,Aceros Nacionales
01ACO-230,Acolman
01ACS-230,Aceros Corsa
01AGU-230,Aguilas
01AGV-85,Agua Viva
01AIN-115,Atlacomulco Industrial
01ALR-85,Alpura
01AMO-85,Amomolulco
01ANL-85,Atotonilco
01ANM-115,Agustin Millan
01ANS-85,San Andres
01ANU-115,Arcelia Nueva
01ANU-69,Arcelia Nueva
01ARA-85,Aragon
01ARX-230,Armex
01ASK-230,ASF-K Mexico
01ATE-230,Atenco
01ATE-85,Atenco
01ATG-69,Arteaga
01ATI-230,Atizapan
01ATK-230,Aztecas
01ATM-115,Altamirano Dos
01ATS-115,APM Terminals
01ATU-115,Atlacomulco Mexico
01AUM-85,Auto Metales
01AUO-115,Aculco
01AUR-230,Aurora
01AVA-115,Avandaro
01AVT-85,Avante Textil
01AYO-230,Ayotla
01AZC-230,Azcapotzalco
01BAR-85,Barrientos
01BBR-115,Santa Barbara
01BBV-230,BBVA Centro Tecnologico America
01BDK-85,Becton Dickinson
01CAH-85,Cementos Anahuac
01CAR-85,Careaga
01CAY-115,Cayacal
01CCM-115,Cerro del Campo
01CCZ-230,Cementera Cruz Azul
01CDS-85,Condesa
01CEA-85,Cementos Apaxco
01CEI-230,Ceilan
01CFD-230,Cofraida Dos
01CFI-230,Cofraida
01CFZ-85,Cementos Fortaleza
01CHA-85,Chalco
01CHE-85,Campos Hermanos
01CHN-230,Chimalhuacan Movil
01CJM-230,Cuajimalpa
01CMC-230,Cuauhtemoc
01CMO-115,Campo Morado
01CNA-69,Cardenas
01COA-230,Coapa
01COM-115,Comalco
01COY-230,Coyoacan
01CPG-230,Chapingo
01CPM-230,Carton y Papel de Mexico
01CRG-230,Cerro Gordo
01CRG-85,Cerro Gordo
01CRM-85,Carmen
01CRS-230,Contreras
01CRU-230,Santa Cruz
01CSN-115,Canchesda Nueva
01CSR-115,Carbon Ser
01CTD-230,Contadero
01CTG-230,Cartagena
01CTT-85,Cuautitlan
01CVD-85,Covadonga
01CYO-85,Coyotepec
01DAA-230,Diana
01DCA-85,Dos Carlos
01DCO-85,De Acero
01DOG-115,Donato Guerra
01DVA-230,Deportiva
01ECA-230,Ecatepec
01ECB-115,Subestacion Cuatro Bombeo
01ECR-230,El Cerrito
01EDB-115,Subestacion Dos Bombeo
01ELG-115,El Gallo
01ENB-115,Subestacion Cinco Bombeo
01ESB-115,Subestacion Seis Bombeo
01EST-230,Estadio
01ETB-115,Subestacion Tres Bombeo
01EUB-115,Subestacion Uno Bombeo
01EVD-230,El Vidrio
01FMC-85,Ford Motor Co
01FPG-115,San Felipe del Progreso
01FRR-115,San Francisco de los Reyes
01GMC-85,General Motors de Mexico
01GMY-115,Guacamaya
01GUA-85,Guadalupe
01HTC-85,Huasteca
01HTM-115,Huetamo
01HTT-85,Huehuetoca
01INM-85,Industria Militar
01INN-85,Indianilla
01INS-85,Insurgentes
01INU-115,Industrias Unidas
01IRO-230,Irolo
01ISC-85,Industrial San Cristobal
01ISO-115,San Isidro
01ITD-115,Ixtlahuaca Dos
01IUN-115,Iusasol 1
01IXL-230,Ixtapaluca
01IXS-115,Ixtapan de la Sal Mexico
01IXT-115,Ixtapantongo
01IZT-230,Iztapalapa
01JAM-85,Jamaica
01JAS-85,Jasso
01JCP-85,Juchitepec
01JDV-85,Jugos del Valle
01JID-115,Jilotepec Industrial
01JIL-115,Jilotepec Mexico
01JJA-85,Jajalpa
01JLC-230,Jabon La Corona
01JRB-230,Jorobas
01JUA-85,Juando
01KCR-230,Kilometro  0
01KDM-85,Chrysler de Mexico
01LAC-115,La Ceiba
01LAP-230,La Paz
01LAQ-85,La Quebrada
01LAZ-85,San Lazaro
01LCD-115,Lazaro Cardenas Distribucion
01LCP-230,Lazaro Cardenas Potencia
01LCP-400,Lazaro Cardenas Potencia
01LCT-85,La Costeña
01LEC-85,Lecheria
01LER-85,Lerma
01LES-115,La Estancia
01LFG-230,Lafarge
01LOM-85,Loma
01LQX-85,Liquimex
01LVE-230,Lomas Verdes
01MAD-230,Madero
01MAG-85,Magdalena
01MER-230,Merced
01MGR-85,Milagros
01MIR-115,Mina Real
01MLP-230,Chimalpa
01MOR-230,Morelos
01MOS-85,Morales
01MTI-115,Minera Tizapa
01MZA-85,Moctezuma
01NAR-230,Narvarte
01NAR-85,Narvarte
01NAU-85,Naucalpan
01NEC-85,Necaxa
01NET-85,Netzahualcoyotl
01NFA-85,Nueva Fanal
01NIS-85,Nissan
01NLE-85,Nestle
01NON-85,Nonoalco
01NTG-115,Nutrigo
01OCE-230,Oceania
01ODB-230,Odon de Buen
01OLI-230,Olivar
01OTM-230,Otumba Maniobras
01PAC-85,Pachuca
01PAT-85,Patera
01PCC-85,Puesto Central de Control
01PDO-115,Papelera el Nevado
01PEN-230,Pensador
01PEV-230,Peralvillo
01PEX-85,Pemex
01PHC-230,Papeles higienicos del Centro
01PIR-85,Parque Industrial Reforma
01PIT-400,Pitirera
01PLO-115,Placeres del Oro
01PLZ-115,Palizada Mexico
01PMT-115,Productora Mexicana de Tuberia
01PMX1115,PEMEX
01PMX2115,PEMEX
01PNN-230,Punta Norte
01PNT-85,Pantitlan
01POO-230,Polanco
01PQI-115,Parque Industrial
01PRO-85,Propimex
01PSR-85,Papelera San Rafael
01PTH-85,Puerta de Hierro
01PTL-85,Patla
01PXA-85,Pemex Azcapotzalco
01PYG-230,Procter and Gamble
01RAT-230,Planta de Aguas Residuales Atotonilco
01RBS-85,Robert Bosch
01REF-85,Reforma
01REM-230,Remedios
01REM-85,Remedios
01RES-230,Los Reyes
01RES-85,Reyes
01RSL-230,El Rosal
01SAF-85,Safmex
01SAO-85,Salto
01SCD-230,Sicartsa Dos
01SDI-85,San Diego
01SKP-85,Smurfit Kappa
01SMT-115,San Mateo
01SNG-230,San Angel
01SOX-230,Sosa Texcoco
01SSE-115,San Sebastian
01SSO-85,San Francisco
01SSP-85,Secretaria de Seguridad Publica
01STU-115,Santiago Tlautla
01TAC-85,Tacuba
01TAX-230,Taxqueña
01TAX-85,Taxqueña
01TCC-230,Tula Ciclo Combinado
01TCM-230,Tecamac
01TDK-230,Toluca 2000
01TDV-85,Tenango del Valle
01TEH-230,Tecamachalco
01TEP-85,Tepexic
01TIA-230,Tianguistenco
01TIN-115,Tingambato
01TIZ-230,Tizayuca
01TJP-115,Tejupilco Edo de Mexico
01TKM-230,Tecamac Movil
01TLG-85,Tulancingo
01TLT-85,Tolteca
01TMA-115,Tres Marias
01TOL-85,Toluca
01TOP-230,Topilejo
01TPA-115,Tlapehuala
01TPZ-85,Tepotzotlan
01TQC-115,Tiquicheo
01TRX-85,Trimex
01TTC-230,Totoltepec
01TTH-230,Teotihuacan
01TTO-85,Tlatelulco
01TTT-115,Texcaltitlan
01TUL-230,Tula
01TUL-400,Tula
01TYA-230,Tacubaya
01VAE-230,Valle de Mexico
01VAJ-230,Vallejo
01VDF-85,Villa de las flores
01VDM-85,Valle de Mexico Turbogas
01VDT-85,Vidriera Toluca
01VER-230,Vertiz
01VFI-85,Vitro Fibras
01VGU-115,Villa Guerrero
01VIC-230,Victoria
01VIC-85,Victoria
01VIL-230,Villita
01VIT-85,Vito
01VLR-85,Vidriera los Reyes
01VPM-85,Vidrio Plano de Mexico
01VRN-230,Veronica
01VRN-85,Veronica
01VTU-85,Valle Tulancingo
01XAL-230,Xalostoc
01XOC-230,Xochimilco
01YBC-115,Yebucibi
01ZAE-85,Zapata Embases
01ZAR-230,Zaragoza
01ZIC-85,Zictepec
01ZIR-69,Zirandaro
01ZUM-85,Zumpango
02AAA-115,Acala
02ABL-115,AB Calsa
02ACA-115,Acatlan
02ACJ-115,Acajete
02ACY-115,Acayucan
02ACZ-115,Acatzingo
02ADD-115,Agua Dulce Dos
02ADS-115,Andres Dos San
02AEN-115,Atencingo
02AGA-115,Agua Santa
02AGF-69,Agua Fria
02AHZ-115,Acahuizotla
02AMF-115,Auto Manufacturas
02AMN-115,Aluminio
02AMZ-115,Amozoc
02ANC-115,Ana Chiautempan Santa
02ANG-400,Angostura
02AOC-115,Actopan
02AOS-115,Los Arcos
02APC-115,Acapulco
02API-115,Apizaco Dos
02ARC-115,Adolfo Ruiz Cortinez
02ARG-115,Agronitrogenados
02ARP-69,Aeropuerto
02ARR-115,Arriaga
02ARU-115,Aeropuerto
02ASI-115,Aquasistemas
02ATC-115,Atlixco
02ATX-230,Aceros Tlaxcala
02ATZ-115,Atlihuetzia
02AUN-115,Antuñano
02AVD-115,Alvarado Dos
02AXO-115,Atexcaco
02AXT-115,Atlixcayotl
02AYA-115,Acacoyaua
02AYT-115,Ayutla
02AZA-115,Agua Zarca
02AZY-115,Altzayanca
02BAA-115,Balsas
02BCH-115,Bochil
02BDD-115,Belisario Dominguez II
02BDR-115,Boca del Rio
02BDZ-115,Belisario Dominguez
02BGS-115,Bugambilias SF6
02BJU-115,Benito Juárez
02BNL-115,Bonfil
02BOE-115,Bosques
02BPP-115,Bio Pappel Printing
02BRN-115,Barra Norte
02BRS-115,Las Brisas
02BVI-115,Buena Vista
02CAC-115,Carlos A. Carrillo
02CAE-115,Cardel
02CAO-115,Comalcalco Oriente
02CAX-115,Cactus Pemex
02CAY-115,Cayaco
