Fecha,Alvaro_Obregon,Tres_Valles,Martines_de_la_Torre_Tres,Coronel,Kimberly_Clark_de_Mexico,Cuadro_de_Maniobras_Eolico_Santa_Catarina,Tlacoachistlahuaca,Valle_Oriente,Papeles_Higienicos_del_Centro,Eato_Truck_Componentes
01/31/2017,765.3858796,1091.570532,985.0289352,974.4915972,988.5554166,814.8469907,1261.42875,788.4743287,1008.340255,979.7016666
02/28/2017,978.9334821,1181.443318,1159.805461,1096.864896,1155.915759,1053.224539,1357.852024,1049.93744,1170.893497,1147.565566
03/31/2017,1107.280564,1263.879543,1239.179503,1172.927903,1236.488011,1156.284718,1463.146667,1152.355309,1248.72125,1232.944032
04/30/2017,1551.922347,1593.809889,1606.146389,1585.414917,1571.232264,1525.224111,1768.622514,1523.329764,1597.952389,1563.929861
05/31/2017,1819.522594,1804.478454,1790.064597,1779.777594,1747.71207,1700.32168,2072.378858,1699.863737,1771.478804,1729.25328
06/30/2017,2892.600555,2372.809181,2361.161181,2610.627444,2358.462042,2548.4525,2747.400361,2555.117361,2380.914333,2418.991194
07/31/2017,1591.488253,1373.621263,1355.331895,1496.331586,1331.240618,1436.960578,1572.000215,1438.973656,1356.038038,1374.103858
08/31/2017,1603.613831,1528.455793,1456.465833,1545.505887,1447.005081,1479.039301,1670.252137,1479.284906,1465.930927,1452.491815
09/30/2017,1262.127264,1109.260681,1037.725792,1166.662597,1042.982139,1002.303986,1209.601694,1003.137708,1057.754431,1043.252833
10/31/2017,1061.941599,1179.503629,1168.242191,1132.222258,1143.85629,1041.914825,1303.458481,1030.222406,1155.050081,1140.819301
11/30/2017,946.6231528,1202.463958,1183.977847,1119.696236,1172.354861,1037.006917,1361.703,1021.193597,1187.330778,1161.975708
12/31/2017,880.8585618,1029.527903,979.9446505,964.2894893,993.1127957,907.2758602,1158.47664,901.1223387,1013.653038,985.5791666
01/31/2018,1013.730793,1128.452218,1133.126693,1125.505739,1118.842715,995.6236828,1306.549234,971.985551,1138.343629,1127.673239
02/28/2018,1264.414658,1418.865328,1398.802634,1361.544137,1376.902247,1307.037515,1633.091652,1302.411146,1405.640878,1386.68497
03/31/2018,1299.37418,1441.217433,1388.483212,1409.481438,1405.824785,1269.527325,1656.361949,1245.592272,1428.527083,1410.041317
04/30/2018,1713.665917,1584.385,1609.443722,1664.096514,1545.014958,1469.329361,1823.324931,1463.022375,1584.210181,1559.299708
05/31/2018,3069.094153,2330.079032,2386.166855,2758.379059,2309.663011,2319.129073,2679.388871,2323.909704,2352.259543,2372.846384
06/30/2018,2747.728208,2228.796306,2151.935083,2494.428111,2167.876403,2196.507264,2547.414833,2202.501681,2227.398653,2212.652667
07/31/2018,1787.111411,1714.603669,1731.553777,1712.383508,1639.772379,1632.210712,1980.292634,1636.727675,1698.578871,1667.192849
08/31/2018,2052.501317,1997.696519,1939.074543,2010.442392,1878.607594,1966.195296,2237.358616,1810.278212,1950.961747,1912.172567
09/30/2018,1487.450542,1873.316236,1719.035903,1604.246972,1704.089181,1597.417847,2034.521694,1599.656375,1772.549792,1667.715694
10/31/2018,964.1576881,1837.317003,1769.139651,1236.391035,1501.535255,1210.222984,1961.997366,1181.879852,1781.88578,1427.721546
11/30/2018,800.0905695,1819.155625,1651.065111,878.8367917,1646.797292,1084.104764,2025.693333,1095.887847,1763.357819,1530.174722
12/31/2018,712.2794624,1309.505806,1219.748575,805.3710619,1298.749489,875.9415457,1499.849005,882.9098925,1284.600054,1220.566169
01/31/2019,690.4206183,1280.084449,1275.186156,828.5408199,1204.793763,845.9786559,1454.231962,850.6556989,1247.356761,1180.860013
02/28/2019,1031.750863,1912.176191,1789.388378,1295.717202,1609.085521,1259.244405,2066.112262,1259.388378,1733.198199,1497.236577
03/31/2019,953.8923118,1705.775349,1574.935901,1094.297003,1553.27961,986.7937231,1914.935081,988.5254973,1590.657392,1508.316142
04/30/2019,1465.435514,2108.961972,2240.12675,1572.256931,1967.571569,1495.909625,2294.744764,1490.792792,2104.064444,1924.475805
05/31/2019,1526.908186,2149.494073,1996.26754,1589.779933,1868.742325,1484.690336,2396.89125,1486.10875,1956.871774,1802.349395
06/30/2019,1447.087333,1648.775972,1532.75075,1404.775028,1531.358222,1327.624417,1868.242083,1330.673042,1552.324097,1447.925375
07/31/2019,1433.586425,1383.465282,1337.34543,1328.490457,1267.895121,1217.856075,1572.813857,1221.76922,1331.748978,1293.201801
08/31/2019,1440.32871,1484.256935,1387.44129,1408.031048,1370.02246,1291.48035,1660.15789,1294.168508,1407.09246,1363.487567
09/30/2019,1211.932139,1381.228208,1301.187889,1218.896625,1254.448667,1155.070125,1540.053764,1156.864028,1305.888542,1240.109736
10/31/2019,657.6568145,1051.585887,996.054086,725.291707,949.4767741,686.6006317,1141.520887,691.2772715,996.551129,913.7104705
11/30/2019,508.8709861,900.2935556,876.4889028,589.8211528,878.5501528,517.5458194,1042.339125,527.4348472,890.1359722,860.5580833
12/31/2019,381.966035,687.4938979,662.6831048,435.0494086,665.8515188,404.8885887,803.558871,409.5066801,682.034086,632.1503629
